sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0012433,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,"President's Choice Scalloped Edge Crackers, Garlic (185 g)",,,,1,Taxable Goods,"Catalog, Search",1.9224,,,,,,,/FK0012433.png,"President's Choice Scalloped Edge Crackers, Garlic (185 g)",/FK0012433.png,,/FK0012433.png,,/FK0012433.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012434,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,Hershey's Snack Mix Tube (56 g),,,,1,Taxable Goods,"Catalog, Search",1.0976,,,,,,,/FK0012434.png,Hershey's Snack Mix Tube (56 g),/FK0012434.png,,/FK0012434.png,,/FK0012434.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012435,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,"Clif Energy Bar, Coconut Chocolate Chip (68 g)",,,,1,Taxable Goods,"Catalog, Search",1.9332,,,,,,,/FK0012435.png,"Clif Energy Bar, Coconut Chocolate Chip (68 g)",/FK0012435.png,,/FK0012435.png,,/FK0012435.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012436,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,Reese's Peanut Butter Big Cup (79 g),,,,1,Taxable Goods,"Catalog, Search",0.5832,,,,,,,/FK0012436.png,Reese's Peanut Butter Big Cup (79 g),/FK0012436.png,,/FK0012436.png,,/FK0012436.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012437,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,"Cream Wafers, Coconut Flavour (200 g)",,,,1,Taxable Goods,"Catalog, Search",1.8144,,,,,,,/FK0012437.png,"Cream Wafers, Coconut Flavour (200 g)",/FK0012437.png,,/FK0012437.png,,/FK0012437.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012438,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,"Larabar Fruit & Nut Energy Bar, Chocolate Brownie (45 g)",,,,1,Taxable Goods,"Catalog, Search",2.0196,,,,,,,/FK0012438.png,"Larabar Fruit & Nut Energy Bar, Chocolate Brownie (45 g)",/FK0012438.png,,/FK0012438.png,,/FK0012438.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012439,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,"Twizzlers Extra Soft Bites, Strawberry (170 g)",,,,1,Taxable Goods,"Catalog, Search",3.24,,,,,,,/FK0012439.png,"Twizzlers Extra Soft Bites, Strawberry (170 g)",/FK0012439.png,,/FK0012439.png,,/FK0012439.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012440,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,Milk Chocolate Digestive Biscuits (300 g),,,,1,Taxable Goods,"Catalog, Search",3.4344,,,,,,,/FK0012440.png,Milk Chocolate Digestive Biscuits (300 g),/FK0012440.png,,/FK0012440.png,,/FK0012440.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012441,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,"Dole Pears, Diced (4x107mL)",,,,1,Taxable Goods,"Catalog, Search",2.2064,,,,,,,/FK0012441.png,"Dole Pears, Diced (4x107mL)",/FK0012441.png,,/FK0012441.png,,/FK0012441.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0012442,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ COOKIES",base,Jolly Rancher Assorted (198 g),,,,1,Taxable Goods,"Catalog, Search",3.24,,,,,,,/FK0012442.png,Jolly Rancher Assorted (198 g),/FK0012442.png,,/FK0012442.png,,/FK0012442.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
